account_id,week_index,active_users
ACC-001,1,98
ACC-001,2,101
ACC-001,3,103
ACC-001,4,100
ACC-001,5,108
ACC-001,6,112
ACC-001,7,109
ACC-001,8,115
ACC-002,1,205
ACC-002,2,198
ACC-002,3,210
ACC-002,4,187
ACC-002,5,130
ACC-002,6,118
ACC-002,7,105
ACC-002,8,97
ACC-003,1,148
ACC-003,2,152
ACC-003,3,145
ACC-003,4,150
ACC-003,5,140
ACC-003,6,143
ACC-003,7,138
ACC-003,8,141
ACC-004,1,120
ACC-004,2,118
ACC-004,3,122
ACC-004,4,119
ACC-004,5,121
ACC-004,6,117
ACC-004,7,120
ACC-004,8,118
ACC-005,1,92
ACC-005,2,88
ACC-005,3,90
ACC-005,4,85
ACC-005,5,80
ACC-005,6,76
ACC-005,7,74
ACC-005,8,75
ACC-006,1,310
ACC-006,2,295
ACC-006,3,305
ACC-006,4,290
ACC-006,5,245
ACC-006,6,230
ACC-006,7,220
ACC-006,8,215
ACC-007,1,180
ACC-007,2,175
ACC-007,3,190
ACC-007,4,165
ACC-007,5,140
ACC-007,6,130
ACC-007,7,122
ACC-007,8,126
ACC-008,1,140
ACC-008,2,137
ACC-008,3,142
ACC-008,4,138
ACC-008,5,130
ACC-008,6,128
ACC-008,7,126
ACC-008,8,124
